id;tracking_code;date;details;invoice_id
1;Berkshire concept;2019-07-07T20:39:14;Future-proofed Awesome;2
2;Rubber Shirt;2019-07-08T08:31:25;deposit Chicken best-of-breed;9
3;Mission Rand Soap;2019-07-08T07:14:26;Licensed Wooden Pants;3
4;Chair Awesome;2019-07-08T08:57:37;Island cyan;4
5;Bedfordshire;2019-07-07T19:17:10;Ergonomic Soft Shoes;7
6;Sleek GB Regional;2019-07-08T10:23:23;systemic;9
7;quantify;2019-07-08T07:25:37;sky blue cultivate Bedfordshire;7
8;back-end Roads bypass;2019-07-08T10:58:30;Customer-focused;8
9;Internal Buckinghamshire Antarctica (the territory South of 60 deg S);2019-07-08T09:17:00;Inlet Hungary Configurable;3
10;leverage Toys software;2019-07-08T06:46:51;internet solution;2
